yali0,yali1
YALI0_E31515g,YALI1_E37118g
YALI0_E32035g,YALI1_E37982g
YALI0_E32065g,YALI1_E38034g
YALI0_E32164g,YALI1_E38131g
YALI0_E32527g,YALI1_E38561g
YALI0_E32769g,YALI1_E38810g
YALI0_E32791g,YALI1_E38859g
YALI0_E32901g,YALI1_E39128g
YALI0_E33033g,YALI1_E39221g
YALI0_E33099g,YALI1_E39248g
YALI0_E33143g,YALI1_E39295g
YALI0_E33517g,YALI1_E39693g
YALI0_E33957g,YALI1_E40305g
YALI0_E34037g,YALI1_E40361g
YALI0_E34133g,YALI1_E40471g
YALI0_E34265g,YALI1_E40671g
YALI0_E34672g,YALI1_E41148g
YALI0_E34749g,YALI1_E41251g
YALI0_E35156g,YALI1_E41754g
YALI0_F00264g,YALI1_F00288g
YALI0_F00462g,YALI1_F00616g
YALI0_F00484g,YALI1_F00654g
YALI0_F01078g,YALI1_F01755g
YALI0_F01771g,YALI1_F02758g
YALI0_F02299g,YALI1_F03527g
YALI0_F02497g,YALI1_F03803g
YALI0_F02629g,YALI1_F03908g
YALI0_F02849g,YALI1_F04082g
YALI0_F02893g,YALI1_F04110g
YALI0_F03201g,YALI1_F04455g
YALI0_F03567g,YALI1_F05089g
YALI0_F03597g,YALI1_F05220g
YALI0_F04015g,YALI1_F06018g
YALI0_F04095g,YALI1_F06197g
YALI0_F04103g,YALI1_F06236g
YALI0_F04114g,YALI1_F06244g
YALI0_F04169g,YALI1_F06351g
YALI0_F05192g,YALI1_F07827g
YALI0_F05214g,YALI1_F07847g
YALI0_F05390g,YALI1_F08075g
YALI0_F05500g,YALI1_F08225g
YALI0_F05610g,YALI1_F08349g
YALI0_F05632g,YALI1_F08363g
YALI0_F05874g,YALI1_F08705g
YALI0_F06424g,YALI1_F09542g
YALI0_F06468g,YALI1_F09598g
YALI0_F06578g,YALI1_F09747g
YALI0_F06710g,YALI1_F09856g
YALI0_F06820g,YALI1_F10110g
YALI0_F06974g,YALI1_F10224g
YALI0_F07062g,YALI1_F10342g
YALI0_F07711g,YALI1_F11049g
YALI0_F08195g,YALI1_F11583g
YALI0_F08217g,YALI1_F11605g
YALI0_F08283g,YALI1_F11635g
YALI0_F08415g,YALI1_F11827g
YALI0_F08613g,YALI1_F12013g
YALI0_F08701g,YALI1_F12138g
YALI0_F09097g,YALI1_F12666g
YALI0_F09185g,YALI1_F12842g
YALI0_F09229g,YALI1_F12874g
YALI0_F09339g,YALI1_F12969g
YALI0_F09405g,YALI1_F13017g
YALI0_F09449g,YALI1_F13039g
YALI0_F09559g,YALI1_F13097g
YALI0_F09603g,YALI1_F13170g
YALI0_F09625g,YALI1_F13202g
YALI0_F09966g,YALI1_F13505g
YALI0_F10010g,YALI1_F13550g
YALI0_F10857g,YALI1_F14495g
YALI0_F10923g,YALI1_F14583g
YALI0_F11231g,YALI1_F14882g
YALI0_F11583g,YALI1_F15334g
YALI0_F11759g,YALI1_F15517g
YALI0_F11935g,YALI1_F15781g
YALI0_F12177g,YALI1_F16045g
YALI0_F12199g,YALI1_F16069g
YALI0_F12639g,YALI1_F16984g
YALI0_F12749g,YALI1_F17082g
YALI0_F12925g,YALI1_F17337g
YALI0_F13453g,YALI1_F17962g
YALI0_F13541g,YALI1_F18105g
YALI0_F14025g,YALI1_F18897g
YALI0_F14729g,YALI1_F19697g
YALI0_F15345g,YALI1_F20637g
YALI0_F15433g,YALI1_F20788g
YALI0_F15587g,YALI1_F20914g
YALI0_F15631g,YALI1_F20965g
YALI0_F16181g,YALI1_F21690g
YALI0_F16291g,YALI1_F21769g
YALI0_F16709g,YALI1_F22321g
YALI0_F16819g,YALI1_F22436g
YALI0_F16896g,YALI1_F22568g
YALI0_F17138g,YALI1_F22908g
YALI0_F17644g,YALI1_F23441g
YALI0_F17820g,YALI1_F23664g
YALI0_F18502g,YALI1_F24667g
YALI0_F19052g,YALI1_F25444g
YALI0_F19184g,YALI1_F25587g
YALI0_F19448g,YALI1_F25908g
YALI0_F19470g,YALI1_F25924g
YALI0_F19514g,YALI1_F25951g
YALI0_F19866g,YALI1_F26427g
YALI0_F20218g,YALI1_F26873g
YALI0_F20262g,YALI1_F26924g
YALI0_F20306g,YALI1_F26967g
YALI0_F20328g,YALI1_F27002g
YALI0_F20504g,YALI1_F27211g
YALI0_F20570g,YALI1_F27343g
YALI0_F20702g,YALI1_F27556g
YALI0_F20790g,YALI1_F27686g
YALI0_F21010g,YALI1_F27904g
YALI0_F21197g,YALI1_F28064g
YALI0_F21219g,YALI1_F28092g
YALI0_F21527g,YALI1_F28485g
YALI0_F22517g,YALI1_F29751g
YALI0_F22781g,YALI1_F29987g
YALI0_F22825g,YALI1_F30034g
YALI0_F23243g,YALI1_F30479g
YALI0_F23441g,YALI1_F30703g
YALI0_F23463g,YALI1_F30754g
YALI0_F23727g,YALI1_F31135g
YALI0_F23837g,YALI1_F31283g
YALI0_F23903g,YALI1_F31381g
YALI0_F23947g,YALI1_F31405g
YALI0_F24475g,YALI1_F31854g
YALI0_F24893g,YALI1_F32232g
YALI0_F24937g,YALI1_F32287g
YALI0_F25047g,YALI1_F32363g
YALI0_F25135g,YALI1_F32476g
YALI0_F25641g,YALI1_F32969g
YALI0_F25795g,YALI1_F33189g
YALI0_F25817g,YALI1_F33246g
YALI0_F26323g,YALI1_F33754g
YALI0_F26433g,YALI1_F33819g
YALI0_F26455g,YALI1_F33861g
YALI0_F26521g,YALI1_F33951g
YALI0_F26609g,YALI1_F34051g
YALI0_F26785g,YALI1_F34187g
YALI0_F27247g,YALI1_F34625g
YALI0_F27313g,YALI1_F34675g
YALI0_F27665g,YALI1_F35109g
YALI0_F27885g,YALI1_F35542g
YALI0_F29843g,YALI1_F37354g
YALI0_F29975g,YALI1_F37498g
YALI0_F30019g,YALI1_F37559g
YALI0_F30063g,YALI1_F37658g
YALI0_F30129g,YALI1_F37714g
YALI0_F30349g,YALI1_F37916g
YALI0_F30481g,YALI1_F38116g
YALI0_F30569g,YALI1_F38220g
YALI0_F30679g,YALI1_F38317g
YALI0_F30811g,YALI1_F38466g
YALI0_F30833g,YALI1_F38476g
YALI0_F30987g,YALI1_F38629g
YALI0_F31075g,YALI1_F38776g
YALI0_F31273g,YALI1_F38986g
YALI0_F31735g,YALI1_F39330g
YALI0_F31999g,YALI1_F39620g
YALI0_A06589g,YALI1_A06229g
YALI0_A09042g,YALI1_A08781g
YALI0_A10659g,YALI1_A10708g
YALI0_A12353g,YALI1_A12540g
YALI0_A15576g,YALI1_A15624g
YALI0_A15906g,YALI1_A15863g
YALI0_A15950g,YALI1_A15879g
YALI0_B00704g,YALI1_B01136g
YALI0_B02178g,YALI1_B03198g
YALI0_B03630g,YALI1_B05072g
YALI0_B04180g,YALI1_B05571g
YALI0_B06941g,YALI1_B09025g
YALI0_B07117g,YALI1_B09211g
YALI0_B07447g,YALI1_B09592g
YALI0_B07667g,YALI1_B10130g
YALI0_B11330g,YALI1_B15015g
YALI0_B14619g,YALI1_B19217g
YALI0_B19976g,YALI1_B26033g
YALI0_B21780g,YALI1_B28394g
YALI0_B22308g,YALI1_B29133g
YALI0_B22506g,YALI1_B29419g
YALI0_C00627g,YALI1_C00826g
YALI0_C01411g,YALI1_C01944g
YALI0_C05170g,YALI1_C06626g
YALI0_C06996g,YALI1_C09380g
YALI0_C08074g,YALI1_C10762g
YALI0_C09636g,YALI1_C13355g
YALI0_C11803g,YALI1_C16485g
YALI0_C13574g,YALI1_C18872g
YALI0_C14344g,YALI1_C20054g
YALI0_C15488g,YALI1_C21946g
YALI0_C16907g,YALI1_C24165g
YALI0_C17281g,YALI1_C24611g
YALI0_C17303g,YALI1_C24647g
YALI0_C19085g,YALI1_C26276g
YALI0_C21406g,YALI1_C29538g
YALI0_C23298g,YALI1_C32119g
YALI0_C23617g,YALI1_C32609g
YALI0_C24101g,YALI1_C33152g
YALI0_D03179g,YALI1_D04055g
