ids,conc
P38970,7.33E-08
P38972,1.06E-05
P38985,1.83E-06
P38986,2.95E-08
P38988,6.22E-06
P39011,5.22E-07
P39012,3.41E-08
P39015,8.00E-06
P39076,4.60E-06
P39077,3.64E-06
P39078,7.98E-06
P39079,4.28E-06
P39101,1.58E-06
P39107,1.61E-06
P39111,5.82E-07
P39522,1.39E-05
P39523,1.11E-07
P39525,5.24E-07
P39533,2.34E-06
P39538,1.39E-07
P39683,2.71E-06
P39692,1.11E-05
P39704,1.09E-06
P39705,1.18E-07
P39715,2.71E-07
P39721,4.78E-06
P39726,1.02E-05
P39729,4.77E-07
P39742,4.93E-08
P39744,2.05E-07
P39927,8.24E-07
P39931,2.96E-06
P39945,2.75E-07
P39954,8.07E-05
P39958,5.74E-06
P39962,1.46E-07
P39966,2.08E-06
P39969,3.73E-07
P39976,4.84E-06
P39979,7.59E-07
P39985,2.63E-07
P39990,2.37E-05
P39993,3.07E-07
P40005,8.20E-09
P40008,8.65E-06
P40013,6.00E-07
P40017,5.96E-07
P40018,2.38E-07
P40024,4.48E-06
P40032,1.90E-06
P40040,8.88E-07
P40045,3.81E-07
P40047,4.86E-06
P40056,1.31E-06
P40069,7.37E-06
P40075,4.58E-06
P40078,5.94E-07
P40079,4.12E-08
P40081,1.16E-06
P40087,1.99E-06
P40091,1.77E-08
P40094,3.21E-08
P40106,6.17E-07
P40159,0.000110314
P40161,4.29E-07
P40202,1.18E-06
P40206,1.23E-07
P40215,5.38E-06
P40217,1.80E-06
P40302,1.68E-05
P40303,1.29E-05
P40318,2.84E-07
P40327,6.33E-06
P40335,1.45E-07
P40339,2.56E-08
P40341,4.26E-07
P40347,1.72E-07
P40348,4.91E-07
P40350,1.27E-07
P40364,3.11E-06
P40413,2.33E-06
P40459,1.27E-06
P40462,6.23E-07
P40468,7.04E-09
P40470,8.57E-08
P40481,2.48E-07
P40491,6.51E-07
P40495,3.47E-06
P40496,7.82E-07
P40509,3.31E-06
P40513,4.82E-06
P40515,5.20E-07
P40517,9.74E-08
P40530,5.29E-07
P40531,1.38E-05
P40540,5.30E-08
P40545,5.62E-07
P40548,9.18E-07
P40554,1.63E-05
P40557,9.50E-08
P40564,5.13E-07
P40576,2.58E-07
P40579,1.18E-06
P40580,4.37E-06
P40582,6.52E-06
P40858,1.69E-06
P40893,3.84E-06
P40896,9.07E-09
P40958,2.26E-07
P40959,7.12E-08
P40961,1.09E-05
P40970,2.26E-07
P41277,5.10E-06
P41543,1.02E-06
P41805,1.57E-05
P41807,8.43E-06
P41812,3.52E-08
P41819,1.60E-07
P41835,2.14E-07
P41896,3.34E-07
P41911,4.84E-06
P41920,5.27E-06
P41921,3.42E-06
P41939,6.05E-07
P41940,1.79E-05
P42826,8.06E-07
P42842,1.85E-07
P42844,2.32E-08
P42936,8.27E-07
P42938,3.24E-06
P42940,5.70E-06
P42941,1.43E-06
P42943,1.38E-06
P42949,6.97E-07
P43123,2.16E-06
P43321,2.40E-06
P43535,8.62E-07
P43550,3.30E-08
P43555,4.28E-07
P43558,9.02E-07
P43561,6.48E-07
P43567,6.53E-06
P43569,1.23E-06
P43577,2.06E-07
P43585,2.50E-07
P43586,1.83E-06
P43588,4.92E-06
P43590,1.48E-07
P43593,2.38E-06
P43594,2.48E-06
P43597,1.59E-07
P43603,2.90E-06
P43609,8.37E-07
P43619,4.00E-06
P45978,6.47E-07
P46367,0.000364347
P46669,1.88E-07
P46672,4.85E-06
P46673,1.98E-07
P46675,5.39E-08
P46680,1.89E-06
P46681,1.86E-06
P46683,6.36E-07
P46944,4.15E-08
P46956,4.44E-06
P46969,2.56E-06
P46971,8.69E-07
P46985,9.72E-07
P46988,5.23E-07
P46989,3.64E-07
P46992,3.93E-06
P47006,1.72E-07
P47008,9.43E-08
P47016,3.65E-07
P47035,2.86E-07
P47048,7.97E-08
P47079,5.95E-06
P47084,3.56E-08
P47089,5.19E-07
P47095,6.65E-07
P47096,1.58E-07
P47112,3.16E-08
P47117,3.48E-06
P47119,2.82E-06
P47120,5.66E-06
P47122,4.36E-07
P47124,1.22E-06
P47125,3.51E-08
P47130,1.98E-07
P47133,2.01E-06
P47141,2.13E-06
P47143,1.84E-05
P47148,4.08E-07
P47154,1.81E-06
P47158,5.16E-08
P47160,1.04E-06
P47163,8.06E-08
P47164,1.04E-07
P47165,1.92E-06
P47169,9.80E-06
P47173,3.05E-07
P47176,5.67E-06
P47771,2.37E-07
P47912,2.61E-06
P48015,9.50E-06
P48164,1.76E-05
P48363,1.21E-06
P48439,1.70E-06
P48510,1.67E-06
P48525,6.26E-08
P48527,2.92E-07
P48589,2.52E-05
P49017,1.02E-06
P49089,6.27E-06
P49090,5.02E-06
P49095,4.93E-07
P49334,7.12E-06
P49367,5.22E-06
P49723,1.55E-05
P49775,7.18E-07
P49954,2.01E-06
P50086,6.64E-08
P50087,8.62E-07
P50094,2.21E-07
P50108,7.12E-07
P50109,5.88E-07
P50278,7.27E-07
P51601,1.60E-06
P51998,2.99E-06
P52286,6.28E-07
P52489,7.29E-07
P52490,1.21E-07
P52891,3.00E-07
P52893,1.07E-06
P52910,2.93E-05
P53010,1.99E-08
P53044,5.01E-07
P53045,5.11E-05
P53067,2.46E-07
P53072,1.89E-07
P53073,6.15E-08
P53075,8.36E-07
P53078,2.32E-07
P53081,7.44E-07
P53107,2.15E-07
P53111,6.27E-07
P53112,7.54E-07
P53136,2.40E-07
P53140,5.24E-07
P53141,7.52E-06
P53144,1.64E-07
P53155,1.70E-07
P53169,7.38E-08
P53170,1.32E-07
P53184,2.43E-05
P53193,4.35E-07
P53200,1.69E-06
P53206,6.51E-08
P53221,5.33E-05
P53250,2.28E-06
P53265,2.21E-07
P53270,1.80E-07
P53276,3.63E-07
P53289,4.29E-07
